book,chapter,id,problem,problem_ancient,problem_modern,answer,explanation,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔二二〕,今有田广三步、三分步之一，从五步、五分步之二。问：为田几何？,今有田广三步、三分步之一，从五步、五分步之二。问：为田几何？,现有一块田，宽为三又三分之一步；长五又五分之二步。问：这块田有多大？,十八步。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔二三〕,又有田广七步、四分步之三，从十五步、九分步之五。问：为田几何？,又有田广七步、四分步之三，从十五步、九分步之五。问：为田几何？,这里有一块田，它的宽是七又四分之三步，长十五又九分之五步。问：这田的面积是多少？,一百二十步、九分步之五。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔二四〕,又有田广十八步、七分步之五，从二十三步、十一分步之六。问：为田几何？,又有田广十八步、七分步之五，从二十三步、十一分步之六。问：为田几何？,一块田，宽度为十八又七分之五步，长度是二十三又十一分之六步。问：这块田的面积是多少？,一亩二百步、十一分步之七。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔二五〕,今有圭田广十二步，正从二十一步。问：为田几何？,今有圭田广十二步，正从二十一步。问：为田几何？,现在有一块等腰三角形田，它的宽度是十二步，长度是二十一步。问：这田的面积是多少？,一百二十六步。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔二六〕,又有圭田广五步、二分步之一，从八步、三分步之二。问：为田几何？,又有圭田广五步、二分步之一，从八步、三分步之二。问：为田几何？,现在有一块等腰三角形田，它的宽度是五又二分之一步，长度是八又三分之二步。问：这田的面积是多少？,二十三步、六分步之五。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔二七〕,今有邪田，一头广三十步，一头广四十二步，正从六十四步。问：为田几何？,今有邪田，一头广三十步，一头广四十二步，正从六十四步。问：为田几何？,现在有一个直角梯形田，其中一面宽三十步，另外一面宽四十二步，高六十四步。问这个田的面积是多少？,九亩一百四十四步。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔二八〕,又有邪田，正广六十五步，一畔从一百步，一畔从七十二步。问：为田几何？,又有邪田，正广六十五步，一畔从一百步，一畔从七十二步。问：为田几何？,还有一块直角梯形田，它的正面宽六十五步，一畔长一百步，另一畔长七十二步。问：这田的面积是多少？,二十三亩七十步。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔二九〕,今有箕田，舌广二十步，踵广五步，正从三十步。问：为田几何？,今有箕田，舌广二十步，踵广五步，正从三十步。问：为田几何？,现在有一片梯形田，上底宽二十步，下底宽五步，整个田块的高为三十步。问：这片田的面积是多少？,一亩一百三十五步。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔三〇〕,又有箕田，舌广一百一十七步，踵广五十步，正从一百三十五步。问：为田几何？,又有箕田，舌广一百一十七步，踵广五十步，正从一百三十五步。问：为田几何？,还有一片梯形田，它的上底宽一百一十七步，下底宽五十步，高一百三十五步。问占地面积是多少？,四十六亩二百三十二步半。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔三一〕,今有圆田，周三十步，径十步。问：为田几何？,今有圆田，周三十步，径十步。问：为田几何？,现在有一个圆形的农田，它的周长是三十步，直径是十步。请问这个农田的面积是多少？,七十五步。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔三二〕,又有圆田，周一百八十一步，径六十步三分步之一。问：为田几何？,又有圆田，周一百八十一步，径六十步三分步之一。问：为田几何？,此外，还有一个圆形的农田，它的周长为一百八十步，直径为六十又三分之一步。请问这个农田有多大？,十一亩九十步十二分步之一。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔三三〕,今有宛田，下周三十步，径十六步。问：为田几何？,今有宛田，下周三十步，径十六步。问：为田几何？,现在有一个半圆形田，它的下周长是三十步，直径是十六步。问：这个田的面积是多少？,一百二十步。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔三四〕,又有宛田，下周九十九步，径五十一步。问：为田几何？,又有宛田，下周九十九步，径五十一步。问：为田几何？,半圆形田的下周长为九十九步，直径为五十一步。问：田的面积是多少？,五亩六十二步、四分步之一。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔三五〕,今有弧田，弦三十步，矢十五步。问：为田几何？,今有弧田，弦三十步，矢十五步。问：为田几何？,现在有一个弓形田，弦长为三十步，矢长为十五步，问这个田的大小是多少？,一亩九十七步半。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔三六〕,又有弧田，弦七十八步、二分步之一，矢十三步、九分步之七。问：为田几何？,又有弧田，弦七十八步、二分步之一，矢十三步、九分步之七。问：为田几何？,还有弓形田，弦长为七十八又二分之一步；矢长为十三又九分之七步。问：这田多大？,二亩一百五十五步、八十一分步之五十六。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔三七〕,今有环田，中周九十二步，外周一百二十二步，径五步。问：为田几何？,今有环田，中周九十二步，外周一百二十二步，径五步。问：为田几何？,现在有一个环形的农田，其中内圆周长为九十二步，外圆周长为一百二十二步，内外径之差为五步。问这个农田的面积是多少？,二亩五十五步。,,,,,,,
九章算术,卷第一　方田〈以御田畴界域〉,〔三八〕,又有环田，中周六十二步、四分步之三，外周一百一十三步、二分步之一，径十二步、三分步之二。问：为田几何？,又有环田，中周六十二步、四分步之三，外周一百一十三步、二分步之一，径十二步、三分步之二。问：为田几何？,又有一片环状的农田，内圆周长有六十二又四分之三步，外圆周长一百一十三又二分之一步。请问这片农田的面积是多少？,四亩一百五十六步、四分步之一。,,,,,,,
九章算术,卷第二　粟米,〔一〕,今有粟一斗，欲为粝米。问︰得几何？,今有粟一斗，欲为粝米。问︰得几何？,现在有一斗栗，想将其制作粝米。请问能够收获多少？,为粝米六升。,,,,,,,
九章算术,卷第二　粟米,〔二〕,今有粟二斗一升，欲为粺米。问︰得几何？,今有粟二斗一升，欲为粺米。问︰得几何？,现在有二斗一升的粟，想要用来制作粺米。请问能够得到粺多少？,为粺米一斗一升、五十分升之十七。,,,,,,,
九章算术,卷第二　粟米,〔三〕,今有粟四斗五升，欲为凿米。问︰得几何？,今有粟四斗五升，欲为凿米。问︰得几何？,现在有四斗五升的栗米，想要用来制作凿米。问总共能够得到多少？,为凿米二斗一升、五分升之三。,,,,,,,
九章算术,卷第二　粟米,〔四〕,今有粟七斗九升，欲为御米。问︰得几何？,今有粟七斗九升，欲为御米。问︰得几何？,现在有七斗九升的粟，想用作御米。问能够得到多少？,为御米三斗三升、五十分升之九。,,,,,,,
九章算术,卷第二　粟米,〔五〕,今有粟一斗，欲为小䵂。问︰得几何？,今有粟一斗，欲为小䵂。问︰得几何？,现在有一斗栗，想要制作小䵂。问：能够有多少？,为小䵂二升、一十分升之七。,,,,,,,
九章算术,卷第二　粟米,〔六〕,今有粟九斗八升，欲为大䵂。问︰得几何？,今有粟九斗八升，欲为大䵂。问︰得几何？,现在有九斗八升的粟，想用它来制作大䵂。问能得到多少？,为大䵂一十斗五升、二十五分升之二十一。,,,,,,,
九章算术,卷第二　粟米,〔七〕,今有粟二斗三升，欲为粝饭。问︰得几何？,今有粟二斗三升，欲为粝饭。问︰得几何？,现有二斗三升的粟，想用来制作一顿粝饭。请问能制作出多少粝饭呢？,为粝饭三斗四升半。,,,,,,,
九章算术,卷第二　粟米,〔八〕,今有粟三斗六升，欲为粺饭。问︰得几何？,今有粟三斗六升，欲为粺饭。问︰得几何？,现在有三斗六升的粮食，想用来做粺饭。问能得到多少？,为粺饭三斗八升、二十五分升之二十二。,,,,,,,
九章算术,卷第二　粟米,〔九〕,今有粟八斗六升，欲为凿饭。问︰得几何？,今有粟八斗六升，欲为凿饭。问︰得几何？,现有八斗六升的粟，想用来做凿饭。请问能得到多少？,为凿饭八斗二升、二十五分升之一十四。,,,,,,,
九章算术,卷第二　粟米,〔一〇〕,今有粟九斗八升，欲为御饭。问︰得几何？,今有粟九斗八升，欲为御饭。问︰得几何？,现在有九斗八升的粟，想制作御饭。问：能够得到多少？,为御饭八斗二升、二十五分升之八。,,,,,,,
九章算术,卷第二　粟米,〔一一〕,今有粟三斗少半升，欲为菽。问︰得几何？,今有粟三斗少半升，欲为菽。问︰得几何？,现在有栗三斗又少半升，想用来制作菽。请问能制作多少菽？,为菽二斗七升、一十分升之三。,,,,,,,
九章算术,卷第二　粟米,〔一二〕,今有粟四斗一升、太半升，欲为答。问︰得几何？,今有粟四斗一升、太半升，欲为答。问︰得几何？,现在有四斗一又太半升的粮食栗，想要制作答。问，得到几何？,为答三斗七升半。,,,,,,,
九章算术,卷第二　粟米,〔一三〕,今有粟五斗、太半升，欲为麻。问︰得几何？,今有粟五斗、太半升，欲为麻。问︰得几何？,现在有五斗零太半升栗，想将其变成麻。请问能变成多少麻？,为麻四斗五升、五分升之三。,,,,,,,
九章算术,卷第二　粟米,〔一四〕,今有粟一十斗八升、五分升之二，欲为麦。问︰得几何？,今有粟一十斗八升、五分升之二，欲为麦。问︰得几何？,现有十斗八又五分之二升的粟，想要制作为麦。问能收获多少麦？,为麦九斗七升、二十五分升之一十四。,,,,,,,
九章算术,卷第二　粟米,〔一五〕,今有粟七斗五升、七分升之四，欲为稻。问︰得几何？,今有粟七斗五升、七分升之四，欲为稻。问︰得几何？,现有七斗五又七分之四升的粟。想将它们用来制作稻。问能收获多少？,为稻九斗、三十五分升之二十四。,,,,,,,
九章算术,卷第二　粟米,〔一六〕,今有粟七斗八升，欲为豉。问︰得几何？,今有粟七斗八升，欲为豉。问︰得几何？,现在有七斗八升的栗，想要用来做豉。问：能得到多少？,为豉九斗八升、二十五分升之七。,,,,,,,
九章算术,卷第二　粟米,〔一七〕,今有粟五斗五升，欲为飧。问︰得几何？,今有粟五斗五升，欲为飧。问︰得几何？,现在有五斗五升的粮食，想要用作飨。请问，能得到多少？,为飧九斗九升。,,,,,,,
九章算术,卷第二　粟米,〔一八〕,今有粟四斗，欲为熟菽。问︰得几何？,今有粟四斗，欲为熟菽。问︰得几何？,现在有四斗栗，想把它制成熟菽。问：制成熟菽后得到多少？,为熟菽八斗二升、五分升之四。,,,,,,,
九章算术,卷第二　粟米,〔一九〕,今有粟二斗，欲为蘖。问︰得几何？,今有粟二斗，欲为蘖。问︰得几何？,现在有二斗栗，想用来制作蘖。问这粮能制作多少蘖？,为蘖七斗。,,,,,,,
九章算术,卷第二　粟米,〔二〇〕,今有粝米十五斗五升、五分升之二，欲为粟。问︰得几何？,今有粝米十五斗五升、五分升之二，欲为粟。问︰得几何？,现在有十五斗五又五分之二升的粝米，欲将其制成粟。请问，能得到多少？,为粟二十五斗九升。,,,,,,,
九章算术,卷第二　粟米,〔二一〕,今有粺米二斗，欲为粟。问︰得几何？,今有粺米二斗，欲为粟。问︰得几何？,现在有二斗粺米，想把它做成粟。请问能做成多少粟？,为粟三斗七升、二十七分升之一。,,,,,,,
九章算术,卷第二　粟米,〔二二〕,今有凿米三斗、少半升，欲为粟。问︰得几何？,今有凿米三斗、少半升，欲为粟。问︰得几何？,现在有凿米三斗又少半升，想要做栗。问能得到多少？,为粟六斗三升、三十六分升之七。,,,,,,,
九章算术,卷第二　粟米,〔二三〕,今有御米十四斗，欲为粟。问︰得几何？,今有御米十四斗，欲为粟。问︰得几何？,现在有十四斗御米，想将它们变成栗。问能变成多少？,为粟三十三斗三升、少半升。,,,,,,,
九章算术,卷第二　粟米,〔二四〕,今有稻一十二斗六升、一十五分升之一十四，欲为粟。问︰得几何？,今有稻一十二斗六升、一十五分升之一十四，欲为粟。问︰得几何？,现在有十二斗六又十五分之十四升的稻，想要将其变成粟，请问能变成多少？,为粟一十斗五升、九分升之七。,,,,,,,
九章算术,卷第二　粟米,〔二五〕,今有粝米一十九斗二升、七分升之一，欲为粺米。问︰得几何？,今有粝米一十九斗二升、七分升之一，欲为粺米。问︰得几何？,现在有十九斗二又七分之一升的粝米，想要计算得出粺米的量。请问，得多少？,为粺米一十七斗二升、一十四分升之一十三。,,,,,,,
九章算术,卷第二　粟米,〔二六〕,今有粝米六斗四升、五分升之三，欲为粝饭。问︰得几何？,今有粝米六斗四升、五分升之三，欲为粝饭。问︰得几何？,现在有六斗四又五分之三升的粝米，想做粝饭。问能做出多少粝饭？,为粝饭一十六斗一升半。,,,,,,,
九章算术,卷第二　粟米,〔二七〕,今有粝饭七斗六升、七分升之四，欲为飧。问︰得几何？,今有粝饭七斗六升、七分升之四，欲为飧。问︰得几何？,现在有七斗六又七分之四升的稻饭，想要做一顿飨饭。问：共能做多少？,为飧九斗一升、三十五分升之三十一。,,,,,,,
九章算术,卷第二　粟米,〔二八〕,今有菽一斗，欲为熟菽。问︰得几何？,今有菽一斗，欲为熟菽。问︰得几何？,现在有一斗的菽，想将它做成熟菽。问得到多少？,为熟菽二斗三升。,,,,,,,
九章算术,卷第二　粟米,〔二九〕,今有菽二斗，欲为豉。问︰得几何？,今有菽二斗，欲为豉。问︰得几何？,现在有两斗的菽，想用来制作豉。问：能够得到多少？,为豉二斗八升。,,,,,,,
九章算术,卷第二　粟米,〔三〇〕,今有麦八斗六升、七分升之三，欲为小䵂，问︰得几何？,今有麦八斗六升、七分升之三，欲为小䵂，问︰得几何？,现有八斗六又七分之三升的麦，想制作小䵂，问这可得多少？,为小䵂二斗五升、一十四分升之一十三。,,,,,,,
九章算术,卷第二　粟米,〔三一〕,今有麦一斗，欲为大䵂。问︰得几何？,今有麦一斗，欲为大䵂。问︰得几何？,现在有一斗的麦，想用来做大䵂。问能做出多少？,为大䵂一斗二升。,,,,,,,
九章算术,卷第二　粟米,〔三二〕,今有出钱一百六十，买瓴甓十八枚。问︰枚几何？,今有出钱一百六十，买瓴甓十八枚。问︰枚几何？,现在有人出了一百六十块钱，买了十八个瓴甓。问：每个瓴甓多少钱？,一枚，八钱、九分钱之八。,,,,,,,
九章算术,卷第二　粟米,〔三三〕,今有出钱一万三千五百，买竹二千三百五十个。问︰个几何？,今有出钱一万三千五百，买竹二千三百五十个。问︰个几何？,现在有人出了一万三千五百，买了两千三百五个竹制品。问：这些竹制品多少钱一个？,一个，五钱、四十七分钱之三十五。,,,,,,,
九章算术,卷第二　粟米,〔三四〕,今有出钱五千七百八十五，买漆一斛六斗七升、太半升。欲斗率之，问︰斗几何。,今有出钱五千七百八十五，买漆一斛六斗七升、太半升。欲斗率之，问︰斗几何。,现在有人出了五千七百八十五钱，买了容量是一斛六斗七又太半升的漆。想按照斗的单位来计算，请问每斗是多少钱？,一斗，三百四十五钱、五百三分钱之一十五。,,,,,,,
九章算术,卷第二　粟米,〔三五〕,今有出钱七百二十，买缣一匹二丈一尺。欲丈率之，问︰丈几何？,今有出钱七百二十，买缣一匹二丈一尺。欲丈率之，问︰丈几何？,现在有人出钱七百二十，想购买一匹二丈一尺的缣，请问每丈价格是多少？,一丈，一百一十八钱、六十一分钱之二。,,,,,,,
九章算术,卷第二　粟米,〔三六〕,今有出钱二千三百七十，买布九匹二丈七尺。欲匹率之，问︰匹几何？,今有出钱二千三百七十，买布九匹二丈七尺。欲匹率之，问︰匹几何？,现在有人出钱两千三百七十，购买九匹二丈七尺的布。想按照匹为单位，问每匹布多少钱？,一匹，二百四十四钱、一百二十九分钱之一百二十四。,,,,,,,
九章算术,卷第二　粟米,〔三七〕,今有出钱一万三千六百七十，买丝一石二钧一十七斤。欲石率之，问︰石几何？,今有出钱一万三千六百七十，买丝一石二钧一十七斤。欲石率之，问︰石几何？,现在有人出钱一万三千六百七十，购买丝一石二钧一十七斤。想请问一石多少钱？,一石，八千三百二十六钱、一百九十七分钱之一百七十八。,,,,,,,
九章算术,卷第二　粟米,〔三八〕,今有出钱五百七十六，买竹七十八个。欲其大小率之，问︰各几何？,今有出钱五百七十六，买竹七十八个。欲其大小率之，问︰各几何？,现在有人出了五百七十六，买了七十八个竹子。想请问单价是多少？,其四十八个，个七钱。其三十个，个八钱。,,,,,,,
九章算术,卷第二　粟米,〔三九〕,今有出钱一千一百二十，买丝一石二钧十八斤。欲其贵贱斤率之，问︰各几何？,今有出钱一千一百二十，买丝一石二钧十八斤。欲其贵贱斤率之，问︰各几何？,现在有人出钱一千一百二十，买了一石二钧十八斤丝。这些丝有贵贱两种，请问它们重量和每斤单价分别是多少？,其二钧八斤，斤五钱。其一石一十斤，斤六钱。,,,,,,,
九章算术,卷第二　粟米,〔四〇〕,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱石率之，问︰各几何？,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱石率之，问︰各几何？,现在有人出钱一万三千九百七十，买了一石二钧二十八斤三两五铢的丝。丝有贵贱两种，想问问它们总重量和每石的价格各是多少？,其一钧九两一十二铢，石八千五十一钱。其一石一钧二十七斤九两一十七铢，石八千五十二钱。,,,,,,,
九章算术,卷第二　粟米,〔四一〕,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱钧率之，问︰各几何？,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱钧率之，问︰各几何？,现在有人出钱一万三千九百七十，购买丝一石二钧二十八斤三两五铢。丝有贵贱两种，想问问它们总重量和每钧的价格各是多少？,其七斤一十两九铢，钧二千一十二钱。其一石二钧二十斤八两二十铢，钧二千一十三钱。,,,,,,,
九章算术,卷第二　粟米,〔四二〕,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱斤率之，问︰各几何？,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱斤率之，问︰各几何？,现在有人出钱一万三千九百七十，购买丝一石二钧二十八斤三两五铢。丝有贵贱两种，想问问它们总重量和每斤的价格各是多少？,其一石二钧七斤十两四铢，斤六十七钱。其二十斤九两一铢，斤六十八钱。,,,,,,,
九章算术,卷第二　粟米,〔四三〕,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱两率之，问︰各几何？,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱两率之，问︰各几何？,现在有一笔资金是一万三千九百七十，购买丝的重量是一石二钧二十八斤三两五铢。丝有贵贱两种，想问问它们总重量和每两的价格各是多少？,其一石一钧一十七斤一十四两一铢，两四钱。其一钧一十斤五两四铢，两五钱。,,,,,,,
九章算术,卷第二　粟米,〔四四〕,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱铢率之，问︰各几何？,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱铢率之，问︰各几何？,现在有人出钱一万三千九百七十，买了一石二钧二十八斤三两五铢的丝。丝有贵贱两种，想问问它们总重量和每铢的价格各是多少？,其一钧二十斤六两十一铢，五铢一钱。其一石一钧七斤一十二两一十八铢，六铢一钱。,,,,,,,
九章算术,卷第二　粟米,〔四五〕,今有出钱六百一十，买羽二千一百翭。欲其贵贱率之，问︰各几何？,今有出钱六百一十，买羽二千一百翭。欲其贵贱率之，问︰各几何？,现在有人出钱六百一十，买了两千一百翭羽。羽有贵贱两种，想问问它们的数量和价格各是多少？,其一千一百四十翭，三翭一钱。其九百六十翭，四翭一钱。,,,,,,,
九章算术,卷第二　粟米,〔四六〕,今有出钱九百八十，买矢簳五千八百二十枚。欲其贵贱率之，问︰各几何？,今有出钱九百八十，买矢簳五千八百二十枚。欲其贵贱率之，问︰各几何？,现在有人出钱九百八十，买了五千八百二十枚箭矢。箭矢有贵贱两种，想问问它们的数量和价格各是多少？,其三百枚，五枚一钱。其五千五百二十枚，六枚一钱。,,,,,,,
九章算术,卷第三　衰分,〔一〕,今有大夫、不更、簪裹、上造、公士，凡五人，共猎得五鹿。欲以爵次分之，问︰各得几何？,今有大夫、不更、簪裹、上造、公士，凡五人，共猎得五鹿。欲以爵次分之，问︰各得几何？,现在有大夫、不更、簪裹、上造、公士等五人，共猎得五鹿。想按照爵位等级来分配这些鹿，请问各位各得多少？,大夫得一鹿、三分鹿之二。不更得一鹿、三分鹿之一。簪裹得一鹿。上造得三分鹿之二。公士得三分鹿之一。,,,,,,,
九章算术,卷第三　衰分,〔二〕,今有牛、马、羊食人苗。苗主责之粟五斗。羊主曰：“我羊食半马。”马主曰：“我马食半牛。”今欲衰偿之，问︰各出几何？,今有牛、马、羊食人苗。苗主责之粟五斗。羊主曰：“我羊食半马。”马主曰：“我马食半牛。”今欲衰偿之，问︰各出几何？,现在有牛、马、羊吃了别人庄稼苗。主人责罚了五斗栗。羊的主人说：“我的羊吃的是马的一半。”马的主人说：“我的马吃的是牛的一半。”现在要按比例进行赔偿，问：各自应出多少栗？,牛主出二斗八升、七分升之四。马主出一斗四升、七分升之二。羊主出七升、七分升之一。,,,,,,,
九章算术,卷第三　衰分,〔三〕,今有甲持钱五百六十，乙持钱三百五十，丙持钱一百八十，凡三人俱出关，关税百钱。欲以钱数多少衰出之，问︰各几何？,今有甲持钱五百六十，乙持钱三百五十，丙持钱一百八十，凡三人俱出关，关税百钱。欲以钱数多少衰出之，问︰各几何？,现在甲持有五百六十元，乙持有三百五十元，丙持有一百八十元，三个人一起出关，关税为一百元。想根据每个人所持有的钱数按比例出关税，请问：三个人需出关税分别是多少？,甲出五十一钱、一百九分钱之四十一。乙出三十二钱、一百九分钱之一十二。丙出一十六钱、一百九分钱之五十六。,,,,,,,
九章算术,卷第三　衰分,〔四〕,今有女子善织，日自倍，五日织五尺。问︰日织几何？,今有女子善织，日自倍，五日织五尺。问︰日织几何？,有一位女子擅长织布，每天织得比是前一天的两倍，五天就能织出五尺长的衣服。问这位女子每天织了多少布？,初日织一寸、三十一分寸之十九。次日织三寸、三十一分寸之七。次日织六寸、三十一分寸之十四。次日织一尺二寸、三十一分寸之二十八。次日织二尺五寸、三十一分寸之二十五。,,,,,,,
