,problem,problem_ancient,problem_modern
45,今有粟三斗六升，欲为粺饭。问︰得几何？,今有粟三斗六升，欲为粺饭。问︰得几何？,现在有三斗六升的粮食，想用来做粺饭。问能得到多少？
46,今有粟八斗六升，欲为凿饭。问︰得几何？,今有粟八斗六升，欲为凿饭。问︰得几何？,现有八斗六升的粟，想用来做凿饭。请问能得到多少？
47,今有粟九斗八升，欲为御饭。问︰得几何？,今有粟九斗八升，欲为御饭。问︰得几何？,现在有九斗八升的粟，想制作御饭。问：能够得到多少？
48,今有粟三斗少半升，欲为菽。问︰得几何？,今有粟三斗少半升，欲为菽。问︰得几何？,现在有栗三斗又少半升，想用来制作菽。请问能制作多少菽？
49,今有粟四斗一升、太半升，欲为答。问︰得几何？,今有粟四斗一升、太半升，欲为答。问︰得几何？,现在有四斗一又太半升的粮食栗，想要制作答。问，得到几何？
50,今有粟五斗、太半升，欲为麻。问︰得几何？,今有粟五斗、太半升，欲为麻。问︰得几何？,现在有五斗零太半升栗，想将其变成麻。请问能变成多少麻？
51,今有粟一十斗八升、五分升之二，欲为麦。问︰得几何？,今有粟一十斗八升、五分升之二，欲为麦。问︰得几何？,现有十斗八又五分之二升的粟，想要制作为麦。问能收获多少麦？
52,今有粟七斗五升、七分升之四，欲为稻。问︰得几何？,今有粟七斗五升、七分升之四，欲为稻。问︰得几何？,现有七斗五又七分之四升的粟。想将它们用来制作稻。问能收获多少？
53,今有粟七斗八升，欲为豉。问︰得几何？,今有粟七斗八升，欲为豉。问︰得几何？,现在有七斗八升的栗，想要用来做豉。问：能得到多少？
54,今有粟五斗五升，欲为飧。问︰得几何？,今有粟五斗五升，欲为飧。问︰得几何？,现在有五斗五升的粮食，想要用作飨。请问，能得到多少？
55,今有粟四斗，欲为熟菽。问︰得几何？,今有粟四斗，欲为熟菽。问︰得几何？,现在有四斗栗，想把它制成熟菽。问：制成熟菽后得到多少？
56,今有粟二斗，欲为蘖。问︰得几何？,今有粟二斗，欲为蘖。问︰得几何？,现在有二斗栗，想用来制作蘖。问这粮能制作多少蘖？
57,今有粝米十五斗五升、五分升之二，欲为粟。问︰得几何？,今有粝米十五斗五升、五分升之二，欲为粟。问︰得几何？,现在有十五斗五又五分之二升的粝米，欲将其制成粟。请问，能得到多少？
58,今有粺米二斗，欲为粟。问︰得几何？,今有粺米二斗，欲为粟。问︰得几何？,现在有二斗粺米，想把它做成粟。请问能做成多少粟？
59,今有凿米三斗、少半升，欲为粟。问︰得几何？,今有凿米三斗、少半升，欲为粟。问︰得几何？,现在有凿米三斗又少半升，想要做栗。问能得到多少？
60,今有御米十四斗，欲为粟。问︰得几何？,今有御米十四斗，欲为粟。问︰得几何？,现在有十四斗御米，想将它们变成栗。问能变成多少？
61,今有稻一十二斗六升、一十五分升之一十四，欲为粟。问︰得几何？,今有稻一十二斗六升、一十五分升之一十四，欲为粟。问︰得几何？,现在有十二斗六又十五分之十四升的稻，想要将其变成粟，请问能变成多少？
62,今有粝米一十九斗二升、七分升之一，欲为粺米。问︰得几何？,今有粝米一十九斗二升、七分升之一，欲为粺米。问︰得几何？,现在有十九斗二又七分之一升的粝米，想要计算得出粺米的量。请问，得多少？
63,今有粝米六斗四升、五分升之三，欲为粝饭。问︰得几何？,今有粝米六斗四升、五分升之三，欲为粝饭。问︰得几何？,现在有六斗四又五分之三升的粝米，想做粝饭。问能做出多少粝饭？
64,今有粝饭七斗六升、七分升之四，欲为飧。问︰得几何？,今有粝饭七斗六升、七分升之四，欲为飧。问︰得几何？,现在有七斗六又七分之四升的稻饭，想要做一顿飨饭。问：共能做多少？
65,今有菽一斗，欲为熟菽。问︰得几何？,今有菽一斗，欲为熟菽。问︰得几何？,现在有一斗的菽，想将它做成熟菽。问得到多少？
66,今有菽二斗，欲为豉。问︰得几何？,今有菽二斗，欲为豉。问︰得几何？,现在有两斗的菽，想用来制作豉。问：能够得到多少？
67,今有麦八斗六升、七分升之三，欲为小䵂，问︰得几何？,今有麦八斗六升、七分升之三，欲为小䵂，问︰得几何？,现有八斗六又七分之三升的麦，想制作小䵂，问这可得多少？
68,今有麦一斗，欲为大䵂。问︰得几何？,今有麦一斗，欲为大䵂。问︰得几何？,现在有一斗的麦，想用来做大䵂。问能做出多少？
69,今有出钱一百六十，买瓴甓十八枚。问︰枚几何？,今有出钱一百六十，买瓴甓十八枚。问︰枚几何？,现在有人出了一百六十块钱，买了十八个瓴甓。问：每个瓴甓多少钱？
70,今有出钱一万三千五百，买竹二千三百五十个。问︰个几何？,今有出钱一万三千五百，买竹二千三百五十个。问︰个几何？,现在有人出了一万三千五百，买了两千三百五个竹制品。问：这些竹制品多少钱一个？
71,今有出钱五千七百八十五，买漆一斛六斗七升、太半升。欲斗率之，问︰斗几何。,今有出钱五千七百八十五，买漆一斛六斗七升、太半升。欲斗率之，问︰斗几何。,现在有人出了五千七百八十五钱，买了容量是一斛六斗七又太半升的漆。想按照斗的单位来计算，请问每斗是多少钱？
72,今有出钱七百二十，买缣一匹二丈一尺。欲丈率之，问︰丈几何？,今有出钱七百二十，买缣一匹二丈一尺。欲丈率之，问︰丈几何？,现在有人出钱七百二十，想购买一匹二丈一尺的缣，请问每丈价格是多少？
73,今有出钱二千三百七十，买布九匹二丈七尺。欲匹率之，问︰匹几何？,今有出钱二千三百七十，买布九匹二丈七尺。欲匹率之，问︰匹几何？,现在有人出钱两千三百七十，购买九匹二丈七尺的布。想按照匹为单位，问每匹布多少钱？
74,今有出钱一万三千六百七十，买丝一石二钧一十七斤。欲石率之，问︰石几何？,今有出钱一万三千六百七十，买丝一石二钧一十七斤。欲石率之，问︰石几何？,现在有人出钱一万三千六百七十，购买丝一石二钧一十七斤。想请问一石多少钱？
75,今有出钱五百七十六，买竹七十八个。欲其大小率之，问︰各几何？,今有出钱五百七十六，买竹七十八个。欲其大小率之，问︰各几何？,现在有人出了五百七十六，买了七十八个竹子。想请问单价是多少？
76,今有出钱一千一百二十，买丝一石二钧十八斤。欲其贵贱斤率之，问︰各几何？,今有出钱一千一百二十，买丝一石二钧十八斤。欲其贵贱斤率之，问︰各几何？,现在有人出钱一千一百二十，买了一石二钧十八斤丝。这些丝有贵贱两种，请问它们重量和每斤单价分别是多少？
77,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱石率之，问︰各几何？,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱石率之，问︰各几何？,现在有人出钱一万三千九百七十，买了一石二钧二十八斤三两五铢的丝。丝有贵贱两种，想问问它们总重量和每石的价格各是多少？
78,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱钧率之，问︰各几何？,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱钧率之，问︰各几何？,现在有人出钱一万三千九百七十，购买丝一石二钧二十八斤三两五铢。丝有贵贱两种，想问问它们总重量和每钧的价格各是多少？
79,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱斤率之，问︰各几何？,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱斤率之，问︰各几何？,现在有人出钱一万三千九百七十，购买丝一石二钧二十八斤三两五铢。丝有贵贱两种，想问问它们总重量和每斤的价格各是多少？
80,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱两率之，问︰各几何？,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱两率之，问︰各几何？,现在有一笔资金是一万三千九百七十，购买丝的重量是一石二钧二十八斤三两五铢。丝有贵贱两种，想问问它们总重量和每两的价格各是多少？
81,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱铢率之，问︰各几何？,今有出钱一万三千九百七十，买丝一石二钧二十八斤三两五铢。欲其贵贱铢率之，问︰各几何？,现在有人出钱一万三千九百七十，买了一石二钧二十八斤三两五铢的丝。丝有贵贱两种，想问问它们总重量和每铢的价格各是多少？
82,今有出钱六百一十，买羽二千一百翭。欲其贵贱率之，问︰各几何？,今有出钱六百一十，买羽二千一百翭。欲其贵贱率之，问︰各几何？,现在有人出钱六百一十，买了两千一百翭羽。羽有贵贱两种，想问问它们的数量和价格各是多少？
83,今有出钱九百八十，买矢簳五千八百二十枚。欲其贵贱率之，问︰各几何？,今有出钱九百八十，买矢簳五千八百二十枚。欲其贵贱率之，问︰各几何？,现在有人出钱九百八十，买了五千八百二十枚箭矢。箭矢有贵贱两种，想问问它们的数量和价格各是多少？
84,今有大夫、不更、簪裹、上造、公士，凡五人，共猎得五鹿。欲以爵次分之，问︰各得几何？,今有大夫、不更、簪裹、上造、公士，凡五人，共猎得五鹿。欲以爵次分之，问︰各得几何？,现在有大夫、不更、簪裹、上造、公士等五人，共猎得五鹿。想按照爵位等级来分配这些鹿，请问各位各得多少？
85,今有牛、马、羊食人苗。苗主责之粟五斗。羊主曰：“我羊食半马。”马主曰：“我马食半牛。”今欲衰偿之，问︰各出几何？,今有牛、马、羊食人苗。苗主责之粟五斗。羊主曰：“我羊食半马。”马主曰：“我马食半牛。”今欲衰偿之，问︰各出几何？,现在有牛、马、羊吃了别人庄稼苗。主人责罚了五斗栗。羊的主人说：“我的羊吃的是马的一半。”马的主人说：“我的马吃的是牛的一半。”现在要按比例进行赔偿，问：各自应出多少栗？
86,今有甲持钱五百六十，乙持钱三百五十，丙持钱一百八十，凡三人俱出关，关税百钱。欲以钱数多少衰出之，问︰各几何？,今有甲持钱五百六十，乙持钱三百五十，丙持钱一百八十，凡三人俱出关，关税百钱。欲以钱数多少衰出之，问︰各几何？,现在甲持有五百六十元，乙持有三百五十元，丙持有一百八十元，三个人一起出关，关税为一百元。想根据每个人所持有的钱数按比例出关税，请问：三个人需出关税分别是多少？
87,今有女子善织，日自倍，五日织五尺。问︰日织几何？,今有女子善织，日自倍，五日织五尺。问︰日织几何？,有一位女子擅长织布，每天织得比是前一天的两倍，五天就能织出五尺长的衣服。问这位女子每天织了多少布？
88,今有北乡算八千七百五十八，西乡算七千二百三十六，南乡算八千三百五十六，凡三乡，发傜三百七十八人。欲以算数多少衰出之，问︰各几何？,今有北乡算八千七百五十八，西乡算七千二百三十六，南乡算八千三百五十六，凡三乡，发傜三百七十八人。欲以算数多少衰出之，问︰各几何？,现在北乡算八千七百五十八，西乡算七千二百三十六，南乡算八千三百五十六，三乡一共需要发徭役三百七十八人。想按照算数多少来划分人数，请问各个乡的人数是多少？
89,今有禀粟，大夫、不更、簪裹、上造、公士，凡五人，一十五斗。今有大夫一人后来，亦当禀五斗。仓无粟，欲以衰出之，问︰各几何？,今有禀粟，大夫、不更、簪裹、上造、公士，凡五人，一十五斗。今有大夫一人后来，亦当禀五斗。仓无粟，欲以衰出之，问︰各几何？,现有禀粟十五斗，分给大夫、不更、簪裹、上造、公士等五人。后来又来了一个大夫，也应该分五斗粮食。粮食短缺，想让五人根据爵位按比例拿出粮食的来应急，问：这些人各需要出多少粮食？
90,今有禀粟五斛，五人分之，欲令三人得三，二人得二。问︰各几何？,今有禀粟五斛，五人分之，欲令三人得三，二人得二。问︰各几何？,现在有五斛粮食，要将其分给五个人，使得三个人每人得到三份，两个人每人得到两份。问每个人分得了多少粮食？
91,今有大夫、不更、簪袅、上造、公士，凡五人，共出百钱。欲令高爵出少，以次渐多，问︰各几何？,今有大夫、不更、簪袅、上造、公士，凡五人，共出百钱。欲令高爵出少，以次渐多，问︰各几何？,现在有大夫、不更、簪袅、上造、公士，共出了一百钱。想让他们更高的爵位出的钱逐渐减少，爵位越低出的越多。请问他们各自出多少？
92,今有甲持粟三升，乙持粝米三升，丙持粝饭三升。欲令合而分之，问︰各几何？,今有甲持粟三升，乙持粝米三升，丙持粝饭三升。欲令合而分之，问︰各几何？,现在，甲持有三升的粟，乙持有三升的粝米，丙持有三升的粝饭。想要将这三位人士所持有的粮食混合在一起，并按比例分，问他们最后分得有粮食各为多少？
93,今有丝一斤，价直二百四十。今有钱一千三百二十八，问︰得丝几何？,今有丝一斤，价直二百四十。今有钱一千三百二十八，问︰得丝几何？,现在一斤丝的价钱高达二百四十。现在有钱一千三百二十八，问能买多少丝？
94,今有丝一斤价直三百四十三。今有丝七两一十二铢，问︰得钱几何？,今有丝一斤价直三百四十三。今有丝七两一十二铢，问︰得钱几何？,现在一斤丝的价格三百四十三。现在有七两十二铢丝，问能得多少钱？
95,今有缣一丈价直一百二十六。今有缣一匹九尺五寸，问︰得钱几何？,今有缣一丈价直一百二十六。今有缣一匹九尺五寸，问︰得钱几何？,现在有缣一丈长价格一百二十六元。现在有一张九尺五寸长，问能得到多少钱？
96,今有布一匹，价直一百二十三。今有布二丈七尺，问︰得钱几何？,今有布一匹，价直一百二十三。今有布二丈七尺，问︰得钱几何？,现在有布一匹，售价是一百二十三块钱。现在有二丈七尺的布，问总共能得多少钱？
97,今有素一匹一丈，价直六百二十五。今有钱五百，问︰得素几何？,今有素一匹一丈，价直六百二十五。今有钱五百，问︰得素几何？,现在有一匹一丈的素，价格六百二十五。现在有钱五百，问能购买素多少？
98,今有与人丝一十四斤，约得缣一十斤。今与人丝四十五斤八两，问︰得缣几何？,今有与人丝一十四斤，约得缣一十斤。今与人丝四十五斤八两，问︰得缣几何？,现在有十四斤丝，约定得到十斤缣。现在有四十五斤八两的丝，请问得多少缣？
99,今有丝一斤，耗七两。今有丝二十三斤五两，问︰耗几何？,今有丝一斤，耗七两。今有丝二十三斤五两，问︰耗几何？,现在有一斤丝，需要消耗七两。现在有二十三斤五两的丝，问消耗了多少？
100,今有生丝三十斤，干之，耗三斤十二两。今有干丝一十二斤，问︰生丝几何？,今有生丝三十斤，干之，耗三斤十二两。今有干丝一十二斤，问︰生丝几何？,现在有三十斤生丝被干成了干丝，共消耗了三斤十二两。现在有十二斤干丝，那么生丝原有多少斤呢？
101,今有田一亩，收粟六升、太半升。今有田一顷二十六亩一百五十九步，问︰收粟几何？,今有田一亩，收粟六升、太半升。今有田一顷二十六亩一百五十九步，问︰收粟几何？,现有一亩田，每年可收获六又太半升粮食。现有田一顷二十六亩一百五十九步，问每年可收获多少粮食？
102,今有取保一岁，价钱二千五百。今先取一千二百，问︰当作日几何？,今有取保一岁，价钱二千五百。今先取一千二百，问︰当作日几何？,现在有人要求保一年，价格二千五百。现在有一千二百，问这样可以保多少日子？
103,今有贷人千钱，月息三十。今有贷人七百五十钱，九日归之，问︰息几何？,今有贷人千钱，月息三十。今有贷人七百五十钱，九日归之，问︰息几何？,现在有人借给他人一千钱，每月收取三十的利息。现在有人借给他人七百五十钱，需要九天归还，问这个人收取的利息是多少？
104,今有田广一步半。求田一亩，问︰从几何？,今有田广一步半。求田一亩，问︰从几何？,现在有一块田，宽度是一步半。求一块田面积为一亩数，问长多少？
105,今有田广一步半、三分步之一。求田一亩，问︰从几何？,今有田广一步半、三分步之一。求田一亩，问︰从几何？,现在有一块田，宽一步半外加三分之一步。求田一亩，问长多少？
106,今有田广一步半、三分步之一、四分步之一。求田一亩，问︰从几何？,今有田广一步半、三分步之一、四分步之一。求田一亩，问︰从几何？,现在有一块田，宽度是一步半加上三分之一步再加四分之一步。要测量田一亩的大小，请问长多少？
107,今有田广一步半、三分步之一、四分步之一、五分步之一。求田一亩，问︰从几何？,今有田广一步半、三分步之一、四分步之一、五分步之一。求田一亩，问︰从几何？,现在有一块田，宽度是一步半加三分步之一再加四分步之一再加五分步之一。求田一亩，问长是多少？
108,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一。求田一亩，问︰从几何？,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一。求田一亩，问︰从几何？,现在有一块田，宽是一步半加三分步之一再加四分步之一再加五分步之一再加六分步之一。求田的面积的一亩，问长是多少？
109,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一。求田一亩，问︰从几何？,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一。求田一亩，问︰从几何？,现在有一个田，其宽度是一步半长外加三分之一步再加四分之一步再加五分之一步再加六分之一步再加七分之一步。求一亩田的长度是多少？
110,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一、八分步之一。求田一亩，问︰从几何？,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一、八分步之一。求田一亩，问︰从几何？,现在有田，宽为一步半外加三分之一步再加四分之一步再加五分之一步再加六月分之一步再加七分之一步再加八分之一步。求一亩的田的长度是多少？
111,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一、八分步之一、九分步之一。求田一亩，问︰从几何？,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一、八分步之一、九分步之一。求田一亩，问︰从几何？,现在有一块田，田宽一步半外加三分之一步再加四分之一步再加五分之一步再加六分之一步再加七分之一步再加八分之一步再加九分之一步。请问这块田面积是一亩的话，长为多少？
112,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一、八分步之一、九分步之一、十分步之一。求田一亩，问︰从几何？,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一、八分步之一、九分步之一、十分步之一。求田一亩，问︰从几何？,现在有一块田，宽一步半外加三分步之一再加四分步之一再加五分步之一再加六分步之一再加七分步之一再加八分步之一再加九分步之一再加十分步之一。要计算田一亩的长度是多少？
113,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一、八分步之一、九分步之一、十分步之一、十一分步之一。求田一亩，问︰从几何？,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一、八分步之一、九分步之一、十分步之一、十一分步之一。求田一亩，问︰从几何？,现在有一个田，宽是一步半外加三分之一步再加四分之一步再加五分之一步再加六分之一步再加七分之一步再加八分之一步再加九分之一步再加十分之一步再加十一分之一步。要得到一亩田，请问长为多少？
114,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一、八分步之一、九分步之一、十分步之一、十一分步之一、十二分步之一。求田一亩，问︰从几何？,今有田广一步半、三分步之一、四分步之一、五分步之一、六分步之一、七分步之一、八分步之一、九分步之一、十分步之一、十一分步之一、十二分步之一。求田一亩，问︰从几何？,现在有一块田，它的宽是一步半加三分步之一加四分步之一加五分步之一加六分步之一加七分步之一加八分步之一加九分步之一加十分步之一加十一分步之一加十二分步之一。要计算田一亩，请问长为多少？
115,今有积五万五千二百二十五步。问︰为方几何？,今有积五万五千二百二十五步。问︰为方几何？,现在有五万五千二百五十二十五步的面积。请问这是多大的正方形？
116,又有积二万五千二百八十一步。问︰为方几何？,又有积二万五千二百八十一步。问︰为方几何？,又有面积二万五千二百八十一步。问正方形边长多少？
117,又有积七万一千八百二十四步。问︰为方几何？,又有积七万一千八百二十四步。问︰为方几何？,还有面积七万一千八百二十四步，问这个数字开方后是什么？
118,又有积五十六万四千七百五十二步、四分步之一。问︰为方几何？,又有积五十六万四千七百五十二步、四分步之一。问︰为方几何？,还有五十六万四千七百五十二步外加四分之一步。问，其正方形边长是多少？
119,又有积三十九亿七千二百一十五万六百二十五步。问︰为方几何？,又有积三十九亿七千二百一十五万六百二十五步。问︰为方几何？,又有面积三十九亿七千二百一十五万六百二十五步。问︰开方后是多少？
