operation,number,zh,en,ChatGPT_ZH,ChatGPT_ZH_Score,ChatGPT_EN,ChatGPT_EN_Score
subtraction,5094599,五百零九万四千五百九十九,Five Million Ninety-four Thousand Five Hundred Ninety-nine,‘5094599’读作五百零九万四千五百九十九。,1,Five million ninety-four thousand five hundred ninety-nine.,1
subtraction,21600899,二千一百六十万零八百九十九,Twenty-one Million Six Hundred Thousand Eight Hundred Ninety-nine,两千一百六十万零八百九十九。,1,Twenty-one million six hundred thousand eight hundred ninety-nine.,1
subtraction,118999999,一亿一千八百九十九万九千九百九十九,One Hundred Eighteen Million Nine Hundred Ninety-nine Thousand Nine Hundred Ninety-nine,一百一十八亿九千九百九十九万九千九百九十九。,0,One hundred eighteen million nine hundred ninety-nine thousand nine hundred ninety-nine.,1
subtraction,675431,六十七万五千四百三十一,Six Hundred Seventy-five Thousand Four Hundred Thirty-one,六十七万五千四百三十一。,1,Six hundred seventy-five thousand four hundred thirty-one.,1
subtraction,450594000,四亿五千零五十九万四千,Four Hundred Fifty Million Five Hundred Ninety-four Thousand,四亿五千零九十四万。,0,Four hundred fifty million five hundred ninety-four thousand.,1
subtraction,450702,四十五万零七百零二,Four Hundred Fifty Thousand Seven Hundred Two,四十五万零七百零二。,1,Four hundred fifty thousand seven hundred two.,1
subtraction,43206797,四千三百二十万六千七百九十七,Forty-three Million Two Hundred Six Thousand Seven Hundred Ninety-seven,四千三百二十万六千七百九十七。,1,"43,206,797 can be written as ""forty-three million, two hundred six thousand, seven hundred ninety-seven.""",1
subtraction,754374,七十五万四千三百七十四,Seven Hundred Fifty-four Thousand Three Hundred Seventy-four,七百五十四万三千七百四十四。,0,Seven hundred fifty-four thousand three hundred seventy-four.,1
subtraction,254314999,二亿五千四百三十一万四千九百九十九,Two Hundred Fifty-four Million Three Hundred Fourteen Thousand Nine Hundred Ninety-nine,两百五十四亿三千一百四十九万九千九百九十九。,0,Two hundred fifty-four million three hundred fourteen thousand nine hundred ninety-nine.,1
subtraction,4036004,四百零三万六千零四,Four Million Thirty-six Thousand Four,四百零三万六千零四。,1,Four million thirty-six thousand and four.,1
subtraction,3605006,三百六十万五千零六,Three Million Six Hundred Five Thousand Six,三百六十万五千零六。,1,Three million six hundred five thousand six.,1
subtraction,2063999999,二十亿六千三百九十九万九千九百九十九,Two Billion Sixty-three Million Nine Hundred Ninety-nine Thousand Nine Hundred Ninety-nine,‘2063999999’读作“二十亿六千三百九十九万九千九百九十九”。,1,Two billion sixty-three million nine hundred ninety-nine thousand nine hundred ninety-nine.,1
subtraction,700199999,七亿零一十九万九千九百九十九,Seven Hundred Million One Hundred Ninety-nine Thousand Nine Hundred Ninety-nine,七十亿零一百九十九万九千九百九十九。,0,"Seven hundred billion, one hundred ninety-nine thousand, nine hundred ninety-nine.",0
addition,62035001,,,,,,
addition,60030201,,,,,,
addition,60000206,,,,,,
addition,62035201,,,,,,
addition,60030006,,,,,,
addition,60030206,,,,,,
addition,4086001,,,,,,
addition,5094601,,,,,,
addition,21600901,,,,,,
addition,119000001,,,,,,
addition,675433,,,,,,
addition,450594002,,,,,,
addition,450704,,,,,,
addition,43206799,,,,,,
addition,754376,,,,,,
addition,254315001,,,,,,
addition,4036006,,,,,,
addition,3605008,,,,,,
addition,2064000001,,,,,,
addition,700200001,,,,,,
shifting,620350000,,,,,,
shifting,600302000,,,,,,
shifting,600002050,,,,,,
shifting,620352000,,,,,,
shifting,600300050,,,,,,
shifting,600302050,,,,,,
shifting,40860000,,,,,,
shifting,50946000,,,,,,
shifting,216009000,,,,,,
shifting,1190000000,,,,,,
shifting,6754320,,,,,,
shifting,4505940010,,,,,,
shifting,4507030,,,,,,
shifting,432067980,,,,,,
shifting,7543750,,,,,,
shifting,2543150000,,,,,,
shifting,40360050,,,,,,
shifting,36050070,,,,,,
shifting,20640000000,,,,,,
shifting,7002000000,,,,,,
